Id,Category
1,1
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,0
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,1
123,0
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,1
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,0
247,0
248,1
249,0
250,1
251,0
252,1
253,0
254,1
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,1
298,0
299,1
300,0
301,0
302,1
303,1
304,0
305,0
306,0
307,1
308,0
309,0
310,0
